Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789364872,30,POST,/incidents [seed],1.142857,0.000000,1200,1400,1400,1500,1600,1600,1600,1600,1600,1600,1600,21,0,1000,1027.5382356665518,346.8000579996442,1646.3696079990768,508.1904761904762
1789364872,30,POST,/ingest/events,2.857143,0.000000,610,860,940,1000,1300,1500,1700,2000,2000,2000,2000,57,0,600,714.6592821579057,211.557090999122,1969.4338139997853,67.0
1789364872,30,,Aggregated,10.142857,0.000000,940,1300,1500,1700,2500,3100,3200,3500,3900,3900,3900,163,0,930,1160.1488002392427,155.39359700051136,3930.708912001137,256.2453987730061
1789364873,30,GET,/alerts,0.000000,0.000000,150,150,150,150,150,150,150,150,150,150,150,2,0,150,156.73138700185518,146.26337400113698,167.19940000257338,2.0
1789364873,30,POST,/api-keys,1.000000,0.000000,750,1200,1200,1300,1400,1600,1600,1600,1600,1600,1600,22,0,730,813.6930921816449,195.00938199780649,1637.9163980018348,166.0
1789364873,30,POST,/auth/login,2.625000,0.000000,1400,1500,1700,1800,2000,2200,2300,2300,2300,2300,2300,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0
1789364873,30,POST,/auth/register-organization,3.250000,0.000000,2700,2800,3100,3200,3500,3500,3900,3900,3900,3900,3900,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667
1789364873,30,POST,/hunting/search,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,300,327.05926739945426,129.9999350012513,529.7113349988649,23.0
1789364873,30,GET,/incidents,0.250000,0.000000,130,130,410,410,410,410,410,410,410,410,410,5,0,230,296.5746358007891,110.79932999928133,594.8800030018901,2265.6
1789364873,30,POST,/incidents [seed],1.375000,0.000000,510,800,1300,1400,1500,1600,1600,1600,1600,1600,1600,37,0,510,716.5106528108653,217.76152000165894,1646.3696079990768,508.43243243243245
1789364873,30,POST,/ingest/events,3.750000,0.000000,250,340,460,600,940,1200,1500,1700,2000,2000,2000,147,0,250,413.62431746927626,137.52769900020212,1969.4338139997853,67.0
1789364873,30,,Aggregated,12.250000,0.000000,410,750,1200,1300,2000,2700,3200,3500,3900,3900,3900,278,0,420,778.2172468560543,110.79932999928133,3930.708912001137,218.53956834532374
1789364874,30,GET,/alerts,0.111111,0.000000,140,150,210,210,300,300,300,300,300,300,300,8,0,140,158.58115637547598,79.84680699883029,304.94405099670985,2.0
1789364874,30,POST,/api-keys,2.333333,0.000000,750,1200,1200,1300,1400,1600,1600,1600,1600,1600,1600,22,0,730,813.6930921816449,195.00938199780649,1637.9163980018348,166.0
1789364874,30,POST,/auth/login,3.333333,0.000000,1400,1500,1700,1800,2000,2200,2300,2300,2300,2300,2300,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0
1789364874,30,POST,/auth/register-organization,3.333333,0.000000,2700,3000,3100,3200,3500,3500,3900,3900,3900,3900,3900,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667
